,Product Name,Price,Actual Price,Discount,Description,Rating,Product Link
0,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
1,No Product Name,No Price Found,No Actual Price,No Discount,No Product Description,No Rating,No Product Link
2,"OnePlus Nord CE3 5G (Aqua Surge, 128 GB)","₹17,999","₹26,999",33% off,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera | 16MP Front Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months for In-Box Accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-128-gb/p/itm95b25bfcca817?pid=MOBGS44DBDZBTUWS&lid=LSTMOBGS44DBDZBTUWSY7NDGV&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGS44DBDZBTUWS.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
3,"OnePlus Nord CE3 5G (Grey Shimmer, 128 GB)","₹18,999","₹26,999",29% off,"['8 GB RAM | 128 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months for In-Box Accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce3-5g-grey-shimmer-128-gb/p/itm95b25bfcca817?pid=MOBGS44NJJVFWSHU&lid=LSTMOBGS44NJJVFWSHUMO6FQO&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGS44NJJVFWSHU.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
4,"OnePlus Nord CE3 5G (Aqua Surge, 256 GB)","₹23,749","₹24,990",4% off,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months for In-Box Accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce3-5g-aqua-surge-256-gb/p/itm95b25bfcca817?pid=MOBGS45CEU4ZGYWY&lid=LSTMOBGS45CEU4ZGYWYT7F3SV&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGS45CEU4ZGYWY.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
5,"OnePlus Nord CE3 5G (Grey Shimmer, 256 GB)","₹24,500","₹24,990",1% off,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months for In-Box Accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce3-5g-grey-shimmer-256-gb/p/itm95b25bfcca817?pid=MOBGS452TWGEZXMC&lid=LSTMOBGS452TWGEZXMC3GAETO&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGS452TWGEZXMC.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
6,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹21,998","₹21,999",No Discount,"['8 GB RAM | 256 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ45PS4AQ7BA&lid=LSTMOBGZJ45PS4AQ7BAJB1HID&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGZJ45PS4AQ7BA.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
7,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹14,965","₹19,999",25% off,"['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ3WM5SGTGVZ&lid=LSTMOBGZJ3WM5SGTGVZL0IBDB&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGZJ3WM5SGTGVZ.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
8,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹15,699","₹19,999",21% off,"['8 GB RAM | 128 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNKFGHDQ&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGZJ42KHUZZKMN.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
9,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,289","₹21,999",16% off,"['8 GB RAM | 256 GB ROM', '17.07 cm (6.72 inch) Display', '108MP Rear Camera', '5000 mAh Battery', 'Domestic Warranty of 12 months on phone & 6 months on accessories']",4.4,https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-pastel-lime-256-gb/p/itm2cd5a4e659035?pid=MOBGZJ3ZFQ8AKKRS&lid=LSTMOBGZJ3ZFQ8AKKRS8ZLIY8&marketplace=FLIPKART&q=oneplusnordce3&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=2be63650-55e7-4cba-a4d9-0f1b524563f7.MOBGZJ3ZFQ8AKKRS.SEARCH&ppt=None&ppn=None&ssid=rzgxov9yyo0000001785221632478&qH=ad3a8ec44d927c6f&ov_redirect=true
